department,programme,description
Faculty of Information Technology,Bachelor of Animation & Visual Effects,"A Bachelor of Animation & Visual Effects (B.An & VFX) program is a magical career option for individuals interested in bringing their unique ideas to the screen. The program focuses on creating moving images and visuals for the entertainment industry, utilising various artistic and technical skills for games, films, television, and other digital platforms. Students will learn 2D and 3D animation techniques, character design, VFX simulations, storyboarding, and the tools and software used in the industry."
Faculty of Information Technology,,
Faculty of Information Technology,,
Faculty of Information Technology,,
Faculty of Information Technology,,
Faculty of Information Technology,,
Faculty of Information Technology,,
Faculty of Information Technology,,
Faculty of Information Technology,,
Faculty of Commerce and Management,,
Faculty of Commerce and Management,,
Faculty of Commerce and Management,,
Faculty of Commerce and Management,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Science,,
Faculty of Pharmacy,,
Faculty of Pharmacy,,
Faculty of Pharmacy,,
Faculty of Pharmacy,,
Faculty of Pharmacy,,
Faculty of Law,,
Faculty of Law,,
Faculty of Law,,
Faculty of Law,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Technology,,
Faculty of Education,,
Faculty of Education,,
Faculty of Arts & Humanities,,
Faculty of Arts & Humanities,,
Faculty of Arts & Humanities,,
Faculty of Arts & Humanities,,
Faculty of Arts & Humanities,,
Faculty of Arts & Humanities,,
Faculty of Arts & Humanities,,
Faculty of Arts & Humanities,,
Faculty of Arts & Humanities,,
Faculty of Arts & Humanities,,
Faculty of Hotel Management,,
