name,short_name,level,department,url,specializations,clubs,faq_count,career_paths,fee_schedule_row,tenure_years,semesters,tuition_per_semester_inr,exam_fee_per_semester_inr,total_fees_inr,lateral_entry_total_inr,fee_note
Bachelor of Animation & Visual Effects,B.An & VFX,UG,Faculty of Information Technology,https://kalingauniversity.ac.in/courses/bachelor-of-animation-and-visual-effects,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Bachelor of Animation & Visual Effects (B. An & Vfx),3,6,60000,1500,378350,,
Bachelor of Arts (With PSC Coaching),BA [With PSC Coaching],UG,Faculty of Arts & Humanities,https://kalingauniversity.ac.in/courses/bachelor-of-arts-with-psc-coaching,,Kalinga Incubation Foundation (KIF); Student Clubs; Students Welfare Services,5,9,BA (PSC Coaching),3,6,25000,1500,168350,,
Bachelor of Arts & Bachelor of Law,BA LLB,UG,Faculty of Law,https://kalingauniversity.ac.in/courses/bachelor-of-arts-bachelor-of-law,,Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF); Student Welfare Services,5,9,BA LLB,5,10,55000,1500,574350,,
Bachelor of Arts in Journalism and Mass Communication with PSC Coaching,BA (J & MC) with PSC Coaching,UG,Faculty of Arts & Humanities,https://kalingauniversity.ac.in/courses/bachelor-of-arts-in-journalism-and-mass-communication-with-psc-coaching,,Kalinga Incubation Foundation (KIF); Student Clubs; Students Welfare Services,5,9,BA (J & MC) with PSC Coaching,3,6,27500,1500,178400,,
Bachelor of Arts in Liberal Arts,BA in Liberal Arts,UG,Faculty of Arts & Humanities,https://kalingauniversity.ac.in/courses/bachelor-of-arts-in-liberal-arts,,Kalinga Incubation Foundation (KIF); Student Clubs; Students Welfare Services,5,9,BA in Liberal Arts with PSC Coaching,3,6,50000,1500,318350,,
Bachelor Of Business Administration,BBA,UG,Faculty of Commerce and Management,https://kalingauniversity.ac.in/courses/bachelor-of-business-administration,Airlines & Airport Operations Management; Digital Marketing & E-Commerce; Event Management & Public Relations; Family Business & Startups; Finance; Fintech; Hospital Administration; Human Resource Management; Marketing Management,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,BBA* (Single Specialisation),3,6,55000,1500,348350,,
Bachelor Of Business Administration And Bachelor Of Law,BBA LLB,UG,Faculty of Law,https://kalingauniversity.ac.in/courses/bachelor-of-business-administration-and-bachelor-of-law,,Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF); Student Welfare Services,5,9,BBA LLB,5,10,55000,1500,574350,,
Bachelor of Business Administration in Film Making [In Collaboration with Niira educom],BBA in Film Making,UG,Faculty of Commerce and Management,https://kalingauniversity.ac.in/courses/bachelor-of-business-adminstration-in-film-making,,Kalinga Incubation Foundation (KIF); Student Clubs; Student Welfare Services,10,9,BBA film making,3,6,60000,1500,378350,,
Bachelor Of Commerce,B.Com.,UG,Faculty of Commerce and Management,https://kalingauniversity.ac.in/courses/bachelor-of-commerce,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Bachelor of Commerce (B. Com. Pass),3,6,25000,1500,168350,,
Bachelor of Computer Applications in Artificial Intelligence and Machine Learning,BCA in AI & ML,UG,Faculty of Information Technology,https://kalingauniversity.ac.in/courses/bachelor-of-computer-applications-in-artificial-intelligence-and-machine-learning,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,BCA in AI & ML,3,6,60000,1500,378350,,
