question,intent,response,source_url
Hi,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Hello,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Hey,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Good morning,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Good afternoon,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Good evening,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Greetings,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Hi there,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Hello chatbot,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Hey assistant,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Is anyone there?,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Namaste,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Hello Kalinga assistant,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Hi AI bot,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Start conversation,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Hey there chatbot,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Good day,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Hi assistant,greeting,"Hello! Welcome to Kalinga University AI Student Assistant. How can I help you today with admissions, courses, fees, scholarships, internships, or placements?",https://kalingauniversity.ac.in/
Bye,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
Goodbye,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
See you later,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
Thank you bye,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
